"","AREA","NAME","ABBREVNAME","FIPS_CODE","WB_CNTRY","OLYM","ATHL","Rank","Gold","Silver","Bronze","Total"
"63",503049.466,"Peru","Peru","PE","PER",FALSE,NA,NA,NA,NA,NA,NA
"64",3251214.289,"Brazil","Brazil","BR","BRA",FALSE,NA,NA,NA,NA,NA,NA
"65",163275.112,"Papua New Guinea","Papua N Guin","PP","PNG",FALSE,NA,NA,NA,NA,NA,NA
"66",2958531.561,"Australia","Australia","AS","AUS",FALSE,NA,NA,NA,NA,NA,NA
"67",67749.595,"Uruguay","Uruguay","UY","URY",FALSE,NA,NA,NA,NA,NA,NA
"68",12512.568,"Denmark","Denmark","DA","DNK",TRUE,152,NA,NA,NA,NA,NA
"69",12734.893,"Netherlands","Netherlands","NL","NLD",TRUE,33,NA,NA,NA,NA,NA
"70",56912.267,"Nepal","Nepal","NP","NPL",FALSE,NA,NA,NA,NA,NA,NA
"71",49615.185,"Eritrea","Eritrea","ER",NA,FALSE,NA,NA,NA,NA,NA,NA
"72",438523.53,"Abyssinia","Abyssinia",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"73",3866.238,"Gambia, The","Gambia, The","GA","GMB",FALSE,NA,NA,NA,NA,NA,NA
"74",8304.2,"Djibouti","Djibouti","DJ","DJI",FALSE,NA,NA,NA,NA,NA,NA
"75",10898.1,"Portuguese Guinea","Port Guinea","PU","GNB",FALSE,NA,NA,NA,NA,NA,NA
"76",358883.235,"Venezuela","Venezuela","VE","VEN",FALSE,NA,NA,NA,NA,NA,NA
"77",1875.289,"Trinidad","Trinidad","TD","TTO",FALSE,NA,NA,NA,NA,NA,NA
"78",2599.641,"Brunei","Brunei","BX","BRN",FALSE,NA,NA,NA,NA,NA,NA
"79",655357.689,"Netherlands Indies","Neth Indies","ID","IDN",FALSE,NA,NA,NA,NA,NA,NA
"80",806567.867,"Greenland","Greenland","GL",NA,FALSE,NA,NA,NA,NA,NA,NA
"81",3702824.291,"Canada","Canada","CA","CAN",TRUE,36,9,3,2,3,8
"82",134943.932,"Norway","Norway","NO","NOR",TRUE,191,8,4,1,4,9
"83",128771.466,"Finland","Finland","FI","FIN",TRUE,164,4,9,8,9,26
"84",167420.425,"Sweden","Sweden","SW","SWE",TRUE,444,2,24,24,17,65
"85",4718827.099,"Antarctica","Antarctica","AY",NA,FALSE,NA,NA,NA,NA,NA,NA
"86",9.363,"Greece","Greece","GR","GRC",TRUE,22,NA,NA,NA,NA,NA
"87",0,"Bulgaria","Bulgaria",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"88",0,"Serbia","Serbia",NA,NA,TRUE,2,NA,NA,NA,NA,NA
"89",31.367,"Italy","Italy","IT","ITA",TRUE,68,NA,NA,NA,NA,NA
"90",22.731,"Romania","Romania",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"91",0,"Austro-Hungarian Empire","Austria Hung",NA,NA,TRUE,85,9,3,2,3,8
"92",0,"Turkish Empire","TurkishEmpir",NA,NA,TRUE,2,NA,NA,NA,NA,NA
"93",42.943,"Pakistan","Pakistan","PK","PAK",FALSE,NA,NA,NA,NA,NA,NA
"94",0,"Indian Empire","India",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"95",0,"French Indo-China","Fr IndoChina",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"96",0,"Manchu Empire","ManchuEmpire",NA,NA,FALSE,NA,NA,NA,NA,NA,NA
